non_dcia_cn,dcia_0,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,0.004,0.045,0.086,0.127,0.168,0.209,0.250,0.291,0.332,0.373,0.414,0.455,0.496,0.536,0.577,0.618,0.659,0.700,0.741,0.782,0.823
35,0.007,0.048,0.089,0.129,0.170,0.211,0.252,0.293,0.333,0.374,0.415,0.456,0.497,0.537,0.578,0.619,0.660,0.701,0.741,0.782,0.823
40,0.011,0.051,0.092,0.133,0.173,0.214,0.254,0.295,0.336,0.376,0.417,0.458,0.498,0.539,0.579,0.620,0.661,0.701,0.742,0.782,0.823
45,0.016,0.056,0.096,0.137,0.177,0.217,0.258,0.298,0.339,0.379,0.419,0.460,0.500,0.540,0.581,0.621,0.662,0.702,0.742,0.783,0.823
50,0.022,0.062,0.102,0.142,0.182,0.222,0.262,0.302,0.342,0.382,0.423,0.463,0.503,0.543,0.583,0.623,0.663,0.703,0.743,0.783,0.823
55,0.030,0.070,0.109,0.149,0.189,0.228,0.268,0.308,0.347,0.387,0.427,0.466,0.506,0.546,0.585,0.625,0.664,0.704,0.744,0.783,0.823
60,0.040,0.080,0.119,0.158,0.197,0.236,0.275,0.314,0.353,0.393,0.432,0.471,0.510,0.549,0.588,0.627,0.667,0.706,0.745,0.784,0.823
65,0.054,0.092,0.131,0.169,0.208,0.246,0.285,0.323,0.362,0.400,0.438,0.477,0.515,0.554,0.592,0.631,0.669,0.708,0.746,0.785,0.823
70,0.071,0.109,0.147,0.184,0.222,0.259,0.297,0.335,0.372,0.410,0.447,0.485,0.522,0.560,0.598,0.635,0.673,0.710,0.748,0.785,0.823
75,0.096,0.132,0.168,0.205,0.241,0.277,0.314,0.350,0.387,0.423,0.459,0.496,0.532,0.568,0.605,0.641,0.678,0.714,0.750,0.787,0.823
80,0.130,0.165,0.199,0.234,0.268,0.303,0.338,0.372,0.407,0.442,0.476,0.511,0.546,0.580,0.615,0.650,0.684,0.719,0.754,0.788,0.823
85,0.182,0.214,0.246,0.278,0.310,0.342,0.374,0.406,0.438,0.470,0.502,0.534,0.566,0.599,0.631,0.663,0.695,0.727,0.759,0.791,0.823
90,0.266,0.294,0.322,0.350,0.378,0.406,0.433,0.461,0.489,0.517,0.545,0.573,0.600,0.628,0.656,0.684,0.712,0.740,0.767,0.795,0.823
95,0.429,0.449,0.469,0.488,0.508,0.528,0.547,0.567,0.587,0.606,0.626,0.646,0.665,0.685,0.705,0.725,0.744,0.764,0.784,0.803,0.823
98,0.616,0.626,0.636,0.647,0.657,0.667,0.678,0.688,0.699,0.709,0.719,0.730,0.740,0.750,0.761,0.771,0.782,0.792,0.802,0.813,0.823
