non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.1,99.3,99.3,99.2,99.1,98.9,98.6,98.2,97.8,97.3,96.8,96.3,95.7,95.1,94.5,93.8,93.2,92.5,91.8,91.0
35,98.4,98.8,98.9,98.8,98.7,98.5,98.2,97.8,97.5,97.0,96.6,96.1,95.5,94.9,94.4,93.7,93.1,92.4,91.7,91.0
40,97.5,98.1,98.3,98.3,98.2,98.0,97.7,97.4,97.1,96.7,96.3,95.8,95.3,94.8,94.2,93.6,93.0,92.4,91.7,91.0
45,96.4,97.3,97.6,97.6,97.6,97.4,97.2,96.9,96.7,96.4,96.0,95.5,95.1,94.6,94.0,93.5,92.9,92.3,91.7,91.0
50,95.2,96.3,96.7,96.9,96.9,96.8,96.6,96.4,96.2,96.0,95.6,95.2,94.8,94.3,93.9,93.4,92.8,92.2,91.6,91.0
55,94.0,95.3,95.8,96.0,96.1,96.1,96.0,95.9,95.7,95.5,95.2,94.9,94.5,94.1,93.6,93.2,92.7,92.2,91.6,91.0
60,92.8,94.1,94.8,95.1,95.3,95.4,95.4,95.3,95.2,95.0,94.8,94.5,94.1,93.8,93.4,93.0,92.5,92.1,91.6,91.0
65,91.7,93.0,93.8,94.2,94.5,94.6,94.7,94.7,94.6,94.5,94.3,94.0,93.8,93.5,93.1,92.8,92.4,91.9,91.5,91.0
70,90.7,92.0,92.8,93.3,93.7,93.9,94.0,94.1,94.0,93.9,93.8,93.6,93.3,93.1,92.8,92.5,92.2,91.8,91.4,91.0
75,89.9,91.1,91.9,92.5,92.9,93.2,93.3,93.3,93.3,93.3,93.2,93.0,92.9,92.7,92.5,92.3,92.0,91.7,91.4,91.0
80,89.4,90.5,91.2,91.7,92.1,92.3,92.5,92.6,92.6,92.6,92.5,92.5,92.4,92.3,92.1,92.0,91.8,91.5,91.3,91.0
85,89.3,90.0,90.5,90.9,91.3,91.5,91.6,91.8,91.8,91.9,91.9,91.9,91.9,91.8,91.7,91.6,91.5,91.4,91.2,91.0
90,89.1,89.6,89.9,90.2,90.5,90.7,90.9,91.0,91.1,91.2,91.3,91.3,91.3,91.4,91.3,91.3,91.3,91.2,91.1,91.0
95,89.5,89.7,89.9,90.0,90.2,90.3,90.4,90.5,90.6,90.7,90.8,90.8,90.9,90.9,91.0,91.0,91.0,91.0,91.0,91.0
98,90.3,90.4,90.5,90.5,90.6,90.6,90.6,90.7,90.7,90.8,90.8,90.8,90.9,90.9,90.9,90.9,91.0,91.0,91.0,91.0
